1,Bulbasaur,Grass,Poison,45,49,49,65,65,45
2,Ivysaur,Grass,Poison,60,62,63,80,80,60
3,Venusaur,Grass,Poison,80,82,83,100,100,80
3,Venusaur (Mega Venusaur),Grass,Poison,80,100,123,122,120,80
4,Charmander,Fire,nan,39,52,43,60,50,65
5,Charmeleon,Fire,nan,58,64,58,80,65,80
6,Charizard,Fire,Flying,78,84,78,109,85,100
6,Charizard (Mega Charizard X),Fire,Dragon,78,130,111,130,85,100
6,Charizard (Mega Charizard Y),Fire,Flying,78,104,78,159,115,100
7,Squirtle,Water,nan,44,48,65,50,64,43
8,Wartortle,Water,nan,59,63,80,65,80,58
9,Blastoise,Water,nan,79,83,100,85,105,78
9,Blastoise (Mega Blastoise),Water,nan,79,103,120,135,115,78
10,Caterpie,Bug,nan,45,30,35,20,20,45
11,Metapod,Bug,nan,50,20,55,25,25,30
12,Butterfree,Bug,Flying,60,45,50,90,80,70
13,Weedle,Bug,Poison,40,35,30,20,20,50
14,Kakuna,Bug,Poison,45,25,50,25,25,35
15,Beedrill,Bug,Poison,65,90,40,45,80,75
15,Beedrill (Mega Beedrill),Bug,Poison,65,150,40,15,80,145
16,Pidgey,Normal,Flying,40,45,40,35,35,56
17,Pidgeotto,Normal,Flying,63,60,55,50,50,71
18,Pidgeot,Normal,Flying,83,80,75,70,70,101
18,Pidgeot (Mega Pidgeot),Normal,Flying,83,80,80,135,80,121
19,Rattata,Normal,nan,30,56,35,25,35,72
19,Rattata (Alolan Rattata),Normal,nan,30,56,35,25,35,72
20,Raticate,Normal,Flying,55,81,60,50,70,97
20,Raticate (Alolan Raticate),Normal,Flying,75,71,70,40,80,77
21,Spearow,Poison,nan,40,60,30,31,31,70
22,Fearow,Poison,nan,65,90,65,61,61,100
23,Ekans,Electric,nan,35,60,44,40,54,55
24,Arbok,Electric,nan,60,95,69,65,79,80
25,Pikachu,Ground,nan,35,55,40,50,50,90
25,Pikachu (Partner Pikachu),Ground,nan,45,80,50,75,60,120
26,Raichu,Poison,nan,60,90,55,90,80,110
26,Raichu (Alolan Raichu),Poison,nan,60,85,50,95,85,110
27,Sandshrew,Poison,Ground,50,75,85,20,30,40
27,Sandshrew (Alolan Sandshrew),Poison,nan,50,75,90,10,35,40
28,Sandslash,Poison,nan,75,100,110,45,55,65
28,Sandslash (Alolan Sandslash),Poison,Ground,75,100,120,25,65,65
29,Nidoran♀,Fairy,nan,55,47,52,40,40,41
30,Nidorina,Fairy,nan,70,62,67,55,55,56
31,Nidoqueen,Fire,nan,90,92,87,75,85,76
32,Nidoran♂,Fire,nan,46,57,40,40,40,50
33,Nidorino,Normal,Fairy,61,72,57,55,55,65
34,Nidoking,Normal,Fairy,81,102,77,85,75,85
35,Clefairy,Poison,Flying,70,45,48,60,65,35
36,Clefable,Poison,Flying,95,70,73,95,90,60
37,Vulpix,Grass,Poison,38,41,40,50,65,65
37,Vulpix (Alolan Vulpix),Grass,Poison,38,41,40,50,65,65
38,Ninetales,Grass,Poison,73,76,75,81,100,100
38,Ninetales (Alolan Ninetales),Bug,Grass,73,67,75,81,100,109
39,Jigglypuff,Bug,Grass,115,45,20,45,25,20
40,Wigglytuff,Bug,Poison,140,70,45,85,50,45
41,Zubat,Bug,Poison,40,45,35,30,40,55
42,Golbat,Ground,nan,75,80,70,65,75,90
43,Oddish,Ground,nan,45,50,55,75,65,30
44,Gloom,Normal,nan,60,65,70,85,75,40
45,Vileplume,Normal,nan,75,80,85,110,90,50
46,Paras,Water,nan,35,70,55,45,55,25
47,Parasect,Water,nan,60,95,80,60,80,30
48,Venonat,Fighting,nan,60,55,50,40,55,45
49,Venomoth,Fighting,nan,70,65,60,90,75,90
50,Diglett,Fire,nan,10,55,25,35,45,95
50,Diglett (Alolan Diglett),Fire,nan,10,55,30,35,45,90
51,Dugtrio,Water,nan,35,100,50,50,70,120
51,Dugtrio (Alolan Dugtrio),Water,nan,35,100,60,50,70,110
52,Meowth,Water,Fighting,40,45,35,40,40,90
52,Meowth (Alolan Meowth),Psychic,nan,40,35,35,50,40,90
52,Meowth (Galarian form),Psychic,nan,50,65,55,40,40,40
53,Persian,Psychic,nan,65,70,60,65,65,115
53,Persian (Alolan Persian),Psychic,nan,65,60,60,75,65,115
54,Psyduck,Fighting,nan,50,52,48,65,50,55
